# Point: 0.9 0.195
# phi_prescribed: 350000	p0: 1500
Disp_r 	 Disp_z 	 Disp_norm 	 p_stretch_1 	 p_stretch_2 	 p_stretch_3 	 Load_value
2.040e-02	5.919e-02	6.261e-02	1.158e+00	1.023e+00	8.878e-01	6.300e-02
2.203e-02	6.093e-02	6.479e-02	1.172e+00	1.024e+00	8.792e-01	6.400e-02
2.367e-02	6.286e-02	6.717e-02	1.186e+00	1.026e+00	8.706e-01	6.500e-02
2.534e-02	6.495e-02	6.972e-02	1.200e+00	1.028e+00	8.619e-01	6.600e-02
2.704e-02	6.720e-02	7.243e-02	1.215e+00	1.030e+00	8.531e-01	6.700e-02
2.876e-02	6.959e-02	7.530e-02	1.230e+00	1.032e+00	8.443e-01	6.800e-02
3.051e-02	7.212e-02	7.831e-02	1.246e+00	1.034e+00	8.354e-01	6.900e-02
3.230e-02	7.477e-02	8.145e-02	1.261e+00	1.036e+00	8.264e-01	7.000e-02
3.412e-02	7.755e-02	8.472e-02	1.277e+00	1.038e+00	8.174e-01	7.100e-02
3.598e-02	8.044e-02	8.812e-02	1.294e+00	1.040e+00	8.084e-01	7.200e-02
3.788e-02	8.345e-02	9.165e-02	1.310e+00	1.042e+00	7.993e-01	7.300e-02
3.983e-02	8.657e-02	9.529e-02	1.328e+00	1.044e+00	7.902e-01	7.400e-02
4.182e-02	8.979e-02	9.905e-02	1.345e+00	1.046e+00	7.811e-01	7.500e-02
4.386e-02	9.311e-02	1.029e-01	1.363e+00	1.049e+00	7.719e-01	7.600e-02
4.594e-02	9.654e-02	1.069e-01	1.381e+00	1.051e+00	7.627e-01	7.700e-02
4.808e-02	1.001e-01	1.110e-01	1.399e+00	1.053e+00	7.535e-01	7.800e-02
5.028e-02	1.037e-01	1.152e-01	1.418e+00	1.056e+00	7.442e-01	7.900e-02
5.253e-02	1.074e-01	1.195e-01	1.437e+00	1.058e+00	7.350e-01	8.000e-02
5.484e-02	1.112e-01	1.240e-01	1.457e+00	1.061e+00	7.257e-01	8.100e-02
5.721e-02	1.151e-01	1.285e-01	1.477e+00	1.064e+00	7.165e-01	8.200e-02
5.964e-02	1.191e-01	1.332e-01	1.497e+00	1.066e+00	7.072e-01	8.300e-02
6.214e-02	1.231e-01	1.379e-01	1.518e+00	1.069e+00	6.980e-01	8.400e-02
6.470e-02	1.273e-01	1.428e-01	1.539e+00	1.072e+00	6.888e-01	8.500e-02
6.733e-02	1.315e-01	1.478e-01	1.560e+00	1.075e+00	6.796e-01	8.600e-02
7.003e-02	1.359e-01	1.529e-01	1.582e+00	1.078e+00	6.704e-01	8.700e-02
7.281e-02	1.403e-01	1.581e-01	1.604e+00	1.081e+00	6.612e-01	8.800e-02
7.565e-02	1.448e-01	1.633e-01	1.627e+00	1.084e+00	6.521e-01	8.900e-02
7.856e-02	1.493e-01	1.687e-01	1.650e+00	1.087e+00	6.430e-01	9.000e-02
8.155e-02	1.540e-01	1.742e-01	1.673e+00	1.091e+00	6.339e-01	9.100e-02
8.461e-02	1.587e-01	1.798e-01	1.696e+00	1.094e+00	6.249e-01	9.200e-02
8.775e-02	1.635e-01	1.855e-01	1.720e+00	1.097e+00	6.160e-01	9.300e-02
9.096e-02	1.683e-01	1.913e-01	1.744e+00	1.101e+00	6.071e-01	9.400e-02
9.424e-02	1.733e-01	1.972e-01	1.769e+00	1.105e+00	5.983e-01	9.500e-02
9.759e-02	1.783e-01	2.032e-01	1.793e+00	1.108e+00	5.895e-01	9.600e-02
1.010e-01	1.833e-01	2.093e-01	1.818e+00	1.112e+00	5.809e-01	9.700e-02
1.045e-01	1.884e-01	2.155e-01	1.844e+00	1.116e+00	5.723e-01	9.800e-02
1.081e-01	1.936e-01	2.218e-01	1.869e+00	1.120e+00	5.637e-01	9.900e-02
1.117e-01	1.989e-01	2.281e-01	1.895e+00	1.124e+00	5.553e-01	1.000e-01
