# Point: 1.095 0
# phi_prescribed: 350000	p0: 1500
Disp_r 	 Disp_z 	 Disp_norm 	 p_stretch_1 	 p_stretch_2 	 p_stretch_3 	 Load_value
2.645e-01	1.040e-16	2.645e-01	1.864e+00	1.242e+00	5.164e-01	6.300e-02
2.645e-01	-6.471e-16	2.645e-01	1.865e+00	1.242e+00	5.165e-01	6.400e-02
2.644e-01	1.841e-15	2.644e-01	1.865e+00	1.241e+00	5.167e-01	6.500e-02
2.643e-01	7.054e-15	2.643e-01	1.865e+00	1.241e+00	5.169e-01	6.600e-02
2.643e-01	2.995e-15	2.643e-01	1.865e+00	1.241e+00	5.172e-01	6.700e-02
2.642e-01	-1.560e-15	2.642e-01	1.865e+00	1.241e+00	5.174e-01	6.800e-02
2.641e-01	-2.553e-15	2.641e-01	1.865e+00	1.241e+00	5.177e-01	6.900e-02
2.640e-01	4.834e-16	2.640e-01	1.865e+00	1.241e+00	5.179e-01	7.000e-02
2.639e-01	-1.647e-16	2.639e-01	1.865e+00	1.241e+00	5.182e-01	7.100e-02
2.638e-01	-1.474e-15	2.638e-01	1.865e+00	1.241e+00	5.185e-01	7.200e-02
2.637e-01	2.220e-15	2.637e-01	1.866e+00	1.241e+00	5.188e-01	7.300e-02
2.636e-01	2.979e-15	2.636e-01	1.866e+00	1.241e+00	5.191e-01	7.400e-02
2.635e-01	3.642e-15	2.635e-01	1.866e+00	1.241e+00	5.195e-01	7.500e-02
2.634e-01	1.959e-15	2.634e-01	1.866e+00	1.241e+00	5.198e-01	7.600e-02
2.633e-01	1.906e-15	2.633e-01	1.866e+00	1.240e+00	5.202e-01	7.700e-02
2.632e-01	-7.916e-15	2.632e-01	1.866e+00	1.240e+00	5.206e-01	7.800e-02
2.631e-01	2.469e-15	2.631e-01	1.867e+00	1.240e+00	5.210e-01	7.900e-02
2.629e-01	5.342e-15	2.629e-01	1.867e+00	1.240e+00	5.214e-01	8.000e-02
2.628e-01	7.552e-15	2.628e-01	1.867e+00	1.240e+00	5.218e-01	8.100e-02
2.627e-01	-6.014e-15	2.627e-01	1.867e+00	1.240e+00	5.222e-01	8.200e-02
2.625e-01	-1.464e-15	2.625e-01	1.867e+00	1.240e+00	5.227e-01	8.300e-02
2.624e-01	1.437e-14	2.624e-01	1.868e+00	1.240e+00	5.231e-01	8.400e-02
2.622e-01	-4.606e-15	2.622e-01	1.868e+00	1.239e+00	5.236e-01	8.500e-02
2.621e-01	2.930e-15	2.621e-01	1.868e+00	1.239e+00	5.241e-01	8.600e-02
2.619e-01	-6.081e-16	2.619e-01	1.868e+00	1.239e+00	5.246e-01	8.700e-02
2.617e-01	2.708e-15	2.617e-01	1.869e+00	1.239e+00	5.252e-01	8.800e-02
2.616e-01	5.629e-16	2.616e-01	1.869e+00	1.239e+00	5.257e-01	8.900e-02
2.614e-01	-3.618e-15	2.614e-01	1.869e+00	1.239e+00	5.263e-01	9.000e-02
2.612e-01	-2.626e-15	2.612e-01	1.869e+00	1.239e+00	5.268e-01	9.100e-02
2.611e-01	-3.573e-15	2.611e-01	1.870e+00	1.238e+00	5.274e-01	9.200e-02
2.609e-01	-5.063e-15	2.609e-01	1.870e+00	1.238e+00	5.280e-01	9.300e-02
2.607e-01	1.495e-14	2.607e-01	1.870e+00	1.238e+00	5.287e-01	9.400e-02
2.605e-01	-3.724e-15	2.605e-01	1.871e+00	1.238e+00	5.293e-01	9.500e-02
2.603e-01	1.178e-15	2.603e-01	1.871e+00	1.238e+00	5.300e-01	9.600e-02
2.601e-01	2.765e-15	2.601e-01	1.871e+00	1.238e+00	5.306e-01	9.700e-02
2.599e-01	-8.100e-15	2.599e-01	1.872e+00	1.237e+00	5.313e-01	9.800e-02
2.597e-01	-3.175e-15	2.597e-01	1.872e+00	1.237e+00	5.320e-01	9.900e-02
2.595e-01	1.172e-15	2.595e-01	1.872e+00	1.237e+00	5.327e-01	1.000e-01
