# Point: 1.095 0
# phi_prescribed: 350000	p0: 1500
Disp_r 	 Disp_z 	 Disp_norm 	 p_stretch_1 	 p_stretch_2 	 p_stretch_3 	 Load_value
1.788e-02	4.407e-15	1.788e-02	1.150e+00	1.016e+00	9.181e-01	6.200e-02
2.296e-02	-5.434e-15	2.296e-02	1.162e+00	1.021e+00	9.084e-01	6.300e-02
2.799e-02	1.625e-14	2.799e-02	1.174e+00	1.026e+00	8.987e-01	6.400e-02
3.299e-02	-1.934e-15	3.299e-02	1.187e+00	1.030e+00	8.890e-01	6.500e-02
3.797e-02	-1.421e-14	3.797e-02	1.200e+00	1.035e+00	8.792e-01	6.600e-02
4.297e-02	-1.192e-15	4.297e-02	1.213e+00	1.039e+00	8.693e-01	6.700e-02
4.798e-02	5.732e-15	4.798e-02	1.227e+00	1.044e+00	8.594e-01	6.800e-02
5.303e-02	1.026e-14	5.303e-02	1.241e+00	1.048e+00	8.494e-01	6.900e-02
5.813e-02	-1.119e-15	5.813e-02	1.256e+00	1.053e+00	8.393e-01	7.000e-02
6.328e-02	1.011e-14	6.328e-02	1.271e+00	1.058e+00	8.292e-01	7.100e-02
6.849e-02	-1.325e-14	6.849e-02	1.286e+00	1.063e+00	8.191e-01	7.200e-02
7.377e-02	1.908e-14	7.377e-02	1.302e+00	1.067e+00	8.088e-01	7.300e-02
7.914e-02	6.639e-15	7.914e-02	1.318e+00	1.072e+00	7.986e-01	7.400e-02
8.459e-02	9.661e-15	8.459e-02	1.334e+00	1.077e+00	7.883e-01	7.500e-02
9.013e-02	-2.474e-14	9.013e-02	1.351e+00	1.082e+00	7.779e-01	7.600e-02
9.577e-02	1.941e-15	9.577e-02	1.369e+00	1.087e+00	7.675e-01	7.700e-02
1.015e-01	-2.321e-14	1.015e-01	1.386e+00	1.093e+00	7.571e-01	7.800e-02
1.074e-01	4.264e-15	1.074e-01	1.404e+00	1.098e+00	7.466e-01	7.900e-02
1.133e-01	-1.968e-14	1.133e-01	1.423e+00	1.103e+00	7.361e-01	8.000e-02
1.194e-01	1.969e-14	1.194e-01	1.442e+00	1.109e+00	7.256e-01	8.100e-02
1.256e-01	-2.624e-14	1.256e-01	1.461e+00	1.115e+00	7.151e-01	8.200e-02
1.319e-01	-1.153e-14	1.319e-01	1.481e+00	1.120e+00	7.046e-01	8.300e-02
1.384e-01	6.305e-14	1.384e-01	1.501e+00	1.126e+00	6.941e-01	8.400e-02
1.450e-01	2.426e-14	1.450e-01	1.521e+00	1.132e+00	6.836e-01	8.500e-02
1.517e-01	6.862e-15	1.517e-01	1.542e+00	1.139e+00	6.731e-01	8.600e-02
1.585e-01	-2.019e-14	1.585e-01	1.563e+00	1.145e+00	6.627e-01	8.700e-02
1.655e-01	-4.760e-14	1.655e-01	1.585e+00	1.151e+00	6.523e-01	8.800e-02
1.726e-01	-1.964e-14	1.726e-01	1.607e+00	1.158e+00	6.419e-01	8.900e-02
1.798e-01	5.219e-14	1.798e-01	1.630e+00	1.164e+00	6.316e-01	9.000e-02
1.872e-01	-7.703e-15	1.872e-01	1.652e+00	1.171e+00	6.213e-01	9.100e-02
1.947e-01	7.456e-14	1.947e-01	1.675e+00	1.178e+00	6.111e-01	9.200e-02
2.023e-01	8.887e-14	2.023e-01	1.699e+00	1.185e+00	6.010e-01	9.300e-02
2.101e-01	-6.927e-14	2.101e-01	1.723e+00	1.192e+00	5.909e-01	9.400e-02
2.180e-01	5.733e-14	2.180e-01	1.747e+00	1.199e+00	5.810e-01	9.500e-02
2.261e-01	-5.475e-14	2.261e-01	1.771e+00	1.206e+00	5.711e-01	9.600e-02
2.342e-01	-7.245e-14	2.342e-01	1.796e+00	1.214e+00	5.614e-01	9.700e-02
2.425e-01	9.373e-14	2.425e-01	1.821e+00	1.221e+00	5.517e-01	9.800e-02
2.509e-01	-9.602e-14	2.509e-01	1.847e+00	1.229e+00	5.422e-01	9.900e-02
2.595e-01	4.940e-14	2.595e-01	1.872e+00	1.237e+00	5.327e-01	1.000e-01
