# Point: 0.9 0.195
# phi_prescribed: 350000	p0: 1500
Disp_r 	 Disp_z 	 Disp_norm 	 p_stretch_1 	 p_stretch_2 	 p_stretch_3 	 Load_value
1.091e-01	1.898e-01	2.189e-01	1.893e+00	1.121e+00	5.548e-01	6.400e-02
1.091e-01	1.899e-01	2.190e-01	1.893e+00	1.121e+00	5.548e-01	6.500e-02
1.092e-01	1.900e-01	2.192e-01	1.893e+00	1.121e+00	5.548e-01	6.600e-02
1.092e-01	1.902e-01	2.193e-01	1.893e+00	1.121e+00	5.548e-01	6.700e-02
1.092e-01	1.903e-01	2.194e-01	1.893e+00	1.121e+00	5.548e-01	6.800e-02
1.093e-01	1.904e-01	2.196e-01	1.893e+00	1.121e+00	5.548e-01	6.900e-02
1.093e-01	1.906e-01	2.197e-01	1.893e+00	1.121e+00	5.548e-01	7.000e-02
1.094e-01	1.908e-01	2.199e-01	1.893e+00	1.122e+00	5.548e-01	7.100e-02
1.094e-01	1.909e-01	2.201e-01	1.893e+00	1.122e+00	5.548e-01	7.200e-02
1.095e-01	1.911e-01	2.202e-01	1.893e+00	1.122e+00	5.549e-01	7.300e-02
1.095e-01	1.913e-01	2.204e-01	1.893e+00	1.122e+00	5.549e-01	7.400e-02
1.096e-01	1.915e-01	2.206e-01	1.893e+00	1.122e+00	5.549e-01	7.500e-02
1.096e-01	1.917e-01	2.208e-01	1.893e+00	1.122e+00	5.549e-01	7.600e-02
1.097e-01	1.919e-01	2.210e-01	1.893e+00	1.122e+00	5.549e-01	7.700e-02
1.097e-01	1.921e-01	2.212e-01	1.893e+00	1.122e+00	5.549e-01	7.800e-02
1.098e-01	1.923e-01	2.215e-01	1.893e+00	1.122e+00	5.549e-01	7.900e-02
1.099e-01	1.926e-01	2.217e-01	1.894e+00	1.122e+00	5.550e-01	8.000e-02
1.099e-01	1.928e-01	2.219e-01	1.894e+00	1.122e+00	5.550e-01	8.100e-02
1.100e-01	1.930e-01	2.222e-01	1.894e+00	1.122e+00	5.550e-01	8.200e-02
1.101e-01	1.933e-01	2.224e-01	1.894e+00	1.122e+00	5.550e-01	8.300e-02
1.102e-01	1.936e-01	2.227e-01	1.894e+00	1.122e+00	5.550e-01	8.400e-02
1.102e-01	1.938e-01	2.230e-01	1.894e+00	1.122e+00	5.550e-01	8.500e-02
1.103e-01	1.941e-01	2.233e-01	1.894e+00	1.123e+00	5.551e-01	8.600e-02
1.104e-01	1.944e-01	2.236e-01	1.894e+00	1.123e+00	5.551e-01	8.700e-02
1.105e-01	1.947e-01	2.239e-01	1.894e+00	1.123e+00	5.551e-01	8.800e-02
1.106e-01	1.950e-01	2.242e-01	1.894e+00	1.123e+00	5.551e-01	8.900e-02
1.107e-01	1.953e-01	2.245e-01	1.894e+00	1.123e+00	5.551e-01	9.000e-02
1.108e-01	1.956e-01	2.248e-01	1.894e+00	1.123e+00	5.551e-01	9.100e-02
1.109e-01	1.960e-01	2.251e-01	1.895e+00	1.123e+00	5.552e-01	9.200e-02
1.110e-01	1.963e-01	2.255e-01	1.895e+00	1.123e+00	5.552e-01	9.300e-02
1.111e-01	1.966e-01	2.258e-01	1.895e+00	1.123e+00	5.552e-01	9.400e-02
1.112e-01	1.970e-01	2.262e-01	1.895e+00	1.124e+00	5.552e-01	9.500e-02
1.113e-01	1.973e-01	2.266e-01	1.895e+00	1.124e+00	5.552e-01	9.600e-02
1.114e-01	1.977e-01	2.269e-01	1.895e+00	1.124e+00	5.552e-01	9.700e-02
1.115e-01	1.981e-01	2.273e-01	1.895e+00	1.124e+00	5.553e-01	9.800e-02
1.116e-01	1.985e-01	2.277e-01	1.895e+00	1.124e+00	5.553e-01	9.900e-02
1.117e-01	1.989e-01	2.281e-01	1.895e+00	1.124e+00	5.553e-01	1.000e-01
